time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-23T17:10:30.670Z,23.9999,122.4709,10,4.9,mb,,89,0.678,0.78,us,us1000dqs6,2018-04-26T15:53:50.128Z,"74km SW of Yonakuni, Japan",earthquake,3.8,1.6,0.059,89,reviewed,us,us
2018-04-23T15:48:52.840Z,36.0144,0.0469,8.01,4.7,mb,,155,1.78,0.68,us,us1000dqq7,2018-04-26T11:42:50.579Z,"9km NNW of Mostaganem, Algeria",earthquake,9.2,5,0.049,124,reviewed,us,us
2018-04-23T15:42:10.020Z,5.1816,-75.5405,113.43,5.2,mww,,25,1.259,1.04,us,us1000dqpz,2018-04-24T15:49:14.040Z,"2km NW of Neira, Colombia",earthquake,7,4.6,0.073,18,reviewed,us,us
2018-04-23T08:13:58.030Z,-1.2887,138.4283,10,5.6,mww,,27,6.383,0.9,us,us1000dqk1,2018-04-24T18:11:08.040Z,"282km WNW of Abepura, Indonesia",earthquake,7.3,1.8,0.071,19,reviewed,us,us
2018-04-23T07:41:31.650Z,37.4787,20.5361,10,4.8,mb,,56,2.092,1.23,us,us1000dqj6,2018-04-23T08:25:12.040Z,"37km SW of Mouzaki, Greece",earthquake,6.6,1.9,0.076,54,reviewed,us,us
2018-04-23T07:37:10.180Z,-6.3161,123.6231,638.26,5.4,mww,,45,2.683,0.93,us,us1000dqj3,2018-04-24T18:09:00.040Z,"147km SE of Baubau, Indonesia",earthquake,9.8,6.5,0.073,18,reviewed,us,us
2018-04-23T06:00:35.430Z,-22.4074,-68.6055,109.58,5,mww,,27,0.348,1.44,us,us1000dqih,2018-04-24T18:29:01.040Z,"34km E of Calama, Chile",earthquake,5.6,3.5,0.073,18,reviewed,us,us
2018-04-23T04:05:16.100Z,0.5109,125.6567,54.77,5.1,mww,,51,1.729,1.2,us,us1000dqh6,2018-04-23T04:19:19.040Z,"116km SSE of Bitung, Indonesia",earthquake,4.4,6.6,0.08,15,reviewed,us,us
2018-04-23T02:58:42.780Z,-3.2141,139.7889,78.13,5.3,mb,,71,7.535,0.94,us,us1000dqgv,2018-04-24T18:22:41.040Z,"109km SW of Abepura, Indonesia",earthquake,8.8,7.7,0.101,33,reviewed,us,us
2018-04-22T20:49:34.720Z,34.1252,139.0972,10,4.6,mb,,116,0.935,0.86,us,us1000dqe6,2018-04-22T21:06:22.040Z,"61km SSE of Shimoda, Japan",earthquake,4.9,1.9,0.11,25,reviewed,us,us
